area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,19-Dec,Electronic City Phase II,2,Coomee ,1056,2,1,39.07
Plot  Area,Ready To Move,Chikka Tirupathi,4,Theanmp,2600,5,3,120
Built-up  Area,Ready To Move,Uttarahalli,3,,1440,2,3,62
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,Soiewre,1521,3,1,95
Super built-up  Area,Ready To Move,Kothanur,2,,1200,2,1,51
Super built-up  Area,Ready To Move,Whitefield,2,DuenaTa,1170,2,1,38
Super built-up  Area,18-May,Old Airport Road,4,Jaades ,2732,4,,204
Super built-up  Area,Ready To Move,Rajaji Nagar,4,Brway G,3300,4,,600
Super built-up  Area,Ready To Move,Marathahalli,3,,1310,3,1,63.25
Plot  Area,Ready To Move,Gandhi Bazar,6,,1020,6,,370
Super built-up  Area,18-Feb,Whitefield,3,,1800,2,2,70
Plot  Area,Ready To Move,Whitefield,4,Prrry M,2785,5,3,295
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,Shncyes,1000,2,1,38
Built-up  Area,Ready To Move,Gottigere,2,,1100,2,2,40
Plot  Area,Ready To Move,Sarjapur,3,Skityer,2250,3,2,148
Super built-up  Area,Ready To Move,Mysore Road,2,PrntaEn,1175,2,2,73.5
Super built-up  Area,Ready To Move,Bisuvanahalli,3,Prityel,1180,3,2,48
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1540,3,3,60
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3,PeBayle,2770,4,2,290
Super built-up  Area,Ready To Move,Manayata Tech Park,2,,1100,2,2,48
Built-up  Area,Ready To Move,Kengeri,1,,600,1,1,15
Super built-up  Area,19-Dec,Binny Pete,3,She 2rk,1755,3,1,122
Plot  Area,Ready To Move,Thanisandra,4,Soitya ,2800,5,2,380
Super built-up  Area,Ready To Move,Bellandur,3,,1767,3,1,103
Super built-up  Area,18-Nov, Thanisandra,,Bhe 2ko,510,1,0,25.25
Super built-up  Area,18-May,Mangammanapalya,3,,1250,3,2,56
Super built-up  Area,Ready To Move,Electronic City,2,Itelaa ,660,1,1,23.1
Built-up  Area,20-Dec,Whitefield,3,,1610,3,2,81
Super built-up  Area,17-Oct,Ramagondanahalli,2,ViistLa,1151,2,2,48.77
Super built-up  Area,Ready To Move,Electronic City,3,KBityo ,1025,2,1,47
Super built-up  Area,19-Dec,Yelahanka,4,LedorSa,2100 - 2850,4,0,186
Super built-up  Area,Ready To Move,Bisuvanahalli,3,Prityel,1075,2,1,35
Super built-up  Area,Ready To Move,Hebbal,3,Mahosya,1760,2,2,123
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1693,3,3,57.39
Built-up  Area,Ready To Move,Kasturi Nagar,3,Kantsce,1925,3,,125
Super built-up  Area,21-Dec,Kanakpura Road,2,PrarePa,700,2,1,36
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,,1070,2,1,45.5
Super built-up  Area,Ready To Move,Kundalahalli,3,Dieldli,1724,3,2,125
Super built-up  Area,Ready To Move,Chikkalasandra,3,,1290,2,2,56.12
Built-up  Area,Ready To Move,Uttarahalli,2,,1143,2,2,45
Built-up  Area,Ready To Move,Murugeshpalya,2,Gentson,1296,2,,81
Super built-up  Area,19-Dec,Sarjapur  Road,3,Soini T,1254,3,2,38
Super built-up  Area,Ready To Move,Ganga Nagar,1,Ceove G,600,1,0,38
Plot  Area,Ready To Move,Yelahanka,1,,660,1,0,48
Super built-up  Area,19-Sep,Kanakpura Road,2,Soazak ,1330.74,2,2,91.79
Plot  Area,Ready To Move,HSR Layout,8,,600,9,,200
Super built-up  Area,Ready To Move,Doddathoguru,2,LancyRe,970,2,0,33
Super built-up  Area,20-Sep,Whitefield,2,Goted U,1459,2,1,94.82
Plot  Area,Ready To Move,KR Puram,2,,800,1,1,130
Built-up  Area,Ready To Move,Himagiri Meadows,2,,869,2,1,36
Super built-up  Area,Ready To Move,Adarsh Nagar,2,Bhncyis,1270,2,1,50
Super built-up  Area,18-Mar,Bhoganhalli,3,Rosha I,1670,3,1,99
Built-up  Area,Ready To Move,Whitefield,3,Suent V,2010,3,2,91
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,RothaVa,1185,2,2,75
Super built-up  Area,Ready To Move,Yelahanka,3,NCowsar,1600,2,3,75
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1200,2,2,44
Built-up  Area,20-Feb,Devanahalli,4,BrereAt,3010 - 3410,,,192
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2,PeBayle,1500,2,2,185
Plot  Area,Ready To Move,Murugeshpalya,6,,1407,4,1,150
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2,,840,2,2,45
Plot  Area,Ready To Move,Tharabanahalli,3,,4395,3,2,240
Super built-up  Area,Ready To Move,Ganga Nagar,2,Laavevi,845,2,1,55
Plot  Area,Ready To Move,Whitefield,4,Chranya,5700,5,3,650
Built-up  Area,Ready To Move,Varthur,2,HioraTr,1160,2,2,44
Built-up  Area,Ready To Move,Bommanahalli,8,,3000,8,0,140
Super built-up  Area,Ready To Move,Doddathoguru,2,,1100,2,1,62
Super built-up  Area,18-Apr,Gunjur,2,BMineis,1140,2,3,43
Super built-up  Area,Ready To Move,Marathahalli,2,,1220,2,1,57
Plot  Area,Ready To Move,Devarachikkanahalli,8,,1350,7,0,85
Super built-up  Area,Ready To Move,Kanakpura Road,2,,1005,2,1,36.68
Plot  Area,Ready To Move,Double Road,3,,500,3,2,100
Super built-up  Area,20-Aug,Begur Road,2,Pruthg ,1358,2,1,80.58
Super built-up  Area,Ready To Move,Hegde Nagar,3,Sonosty,1569,3,1,101
Super built-up  Area,18-Apr,Haralur Road,2,SNnia E,1240,2,1,70
Super built-up  Area,Ready To Move,Hennur Road,3,Anavi B,2089,3,2,140
Super built-up  Area,Ready To Move,Kothannur,2,,1206,2,1,48.23
Super built-up  Area,Ready To Move,Kalena Agrahara,2,,1150,2,3,40
Built-up  Area,Ready To Move,Cholanayakanahalli,3,Viony H,2511,3,3,205
Built-up  Area,Ready To Move,Kaval Byrasandra,2,,460,1,0,22
Built-up  Area,Ready To Move,ISRO Layout,6,,4400,6,3,250
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3,AdentEl,1660,2,2,105
Built-up  Area,18-Oct,Hennur Road,4,Gollela,2957 - 3450,,,224.5
Super built-up  Area,19-Mar,Yelahanka,2,Niareum,1326,2,2,78
Super built-up  Area,Ready To Move,Garudachar Palya,3,,1325,2,2,60.8
Super built-up  Area,Ready To Move,EPIP Zone,3,SJlynro,1499,5,2,102
Built-up  Area,Ready To Move,Hegde Nagar,6,,3000,7,2,210
Super built-up  Area,Ready To Move,Kanakpura Road,3,,1665,3,2,88
Super built-up  Area,17-Sep,Dasanapura,2,Tavenew,708,2,2,37
Super built-up  Area,Ready To Move,Kasavanhalli,2,Srire S,1060,2,2,58.06
Plot  Area,Ready To Move,Rajaji Nagar,6,,710,6,3,160
Built-up  Area,Ready To Move,Sanjay nagar,2,Saenti ,1000,2,2,70
Super built-up  Area,18-Dec,Electronic City,2,,1000,2,1,28.88
Super built-up  Area,Ready To Move, Mysore Highway,3,,1450,2,2,70
Plot  Area,Ready To Move,ISRO Layout,4,,1200,4,2,155
Super built-up  Area,17-Aug,Thanisandra,2,Bhmesy ,1296,2,3,80
Super built-up  Area,Ready To Move,Domlur,3,,1540,3,2,90
Plot  Area,Ready To Move,Kengeri,4,Goardth,2894,4,1,245
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3,,1330,2,1,48
Built-up  Area,Ready To Move,Devasthanagalu,2,,1200,2,1,65
Built-up  Area,Ready To Move,T Dasarahalli,3,,1200,3,1,90
Super built-up  Area,Ready To Move,Yeshwanthpur,3,IBityin,2502,3,3,138
Built-up  Area,Ready To Move,Chandapura,2,KHityry,650,1,1,17
Plot  Area,Ready To Move,Kothanur,3,BDensar,2400,2,1,150
Super built-up  Area,Ready To Move,Green View Layout,2,Makeser,1007,2,2,43
Super built-up  Area,Ready To Move,Shantiniketan Layout,2,Maest N,1200,2,2,50
Super built-up  Area,Ready To Move,Peenya,2,,966,2,2,49.9
Built-up  Area,Ready To Move,Nagarbhavi,3,,1630,2,1,98
Built-up  Area,Ready To Move,Rajaji Nagar,3,Brway G,1640,3,2,229
Built-up  Area,Ready To Move,Jalahalli West,2,,782,2,2,55.68
Super built-up  Area,19-Apr,Devanahalli,2,Oznuean,1260,2,2,66.78
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3,,1800,3,3,120
Super built-up  Area,Ready To Move,Byatarayanapura,3,Reeroce,1413,2,2,75
Super built-up  Area,Ready To Move,Whitefield,2,Sonviik,1116,2,1,51.91
Super built-up  Area,Ready To Move,Electronic City,3,DSgmax ,1530,2,1,45.9
Built-up  Area,Ready To Move,Ramamurthy Nagar,4,,3700,4,1,225
Built-up  Area,Ready To Move,Sarjapur  Road,3,Cetattu,2497,3,2,140
Super built-up  Area,Ready To Move,Kengeri,3,Vaens G,1540,2,3,64
Super built-up  Area,18-Dec,Thanisandra,3,,1436,3,1,74.75
Super built-up  Area,18-Jun,Malleshwaram,2,,1100,2,2,75
Plot  Area,Ready To Move,Hennur Road,2,,276,3,3,23
Super built-up  Area,Ready To Move,Thanisandra,3,Moity S,1427,3,2,120
Super built-up  Area,Ready To Move,Akshaya Nagar,3,HiahsLa,2061,3,1,200
Super built-up  Area,18-Mar,Hebbal,4,SNontle,3067 - 8156,4,0,477
